area,lat,lon
Docklands,-37.81925128,144.947975341
Docklands,-37.81864991,144.950258352
Docklands,-37.82019801,144.951576469
Docklands,-37.81921015,144.949821292
Docklands,-37.81927362,144.943968986
Docklands,-37.82029136,144.944144701
Docklands,-37.82044557,144.943459922
Docklands,-37.82092615,144.943788121
Docklands,-37.81974585,144.945620861
Docklands,-37.81993674,144.944683539
Docklands,-37.82205735,144.945764329
Docklands,-37.82100111,144.945046845
Docklands,-37.82007613,144.941406774
Docklands,-37.81970478,144.945066127
Docklands,-37.82059451,144.94250585
Docklands,-37.82163103,144.943933222
Docklands,-37.81460532,144.941261396
Docklands,-37.81434524,144.942139035
Docklands,-37.81515588,144.941842104
Docklands,-37.8153411,144.941405106
Docklands,-37.81389099,144.943683537
Docklands,-37.81518961,144.93905572
Docklands,-37.81427742,144.940199413
Docklands,-37.81354365,144.942989624
Docklands,-37.81220918,144.939410985
Docklands,-37.8131707,144.937857365
Docklands,-37.8131707,144.937857365
Docklands,-37.81223228,144.935632097
Docklands,-37.81308482,144.941196687
Docklands,-37.81174852,144.93675199
Docklands,-37.82290352,144.952548545
North Melbourne,-37.79165579,144.937871966
North Melbourne,-37.79501722,144.941402664
Kensington,-37.79426147,144.93017684
Kensington,-37.79392952,144.92999321
Kensington,-37.7936563,144.929934732
Kensington,-37.79360999,144.929929238
Kensington,-37.79353782,144.929915372
Kensington,-37.79436218,144.931113097
Melbourne (CBD),-37.81866337,144.965469605
Melbourne (CBD),-37.81865919,144.968934898
Melbourne (CBD),-37.81784465,144.969917465
Melbourne (CBD),-37.81784465,144.969917465
Melbourne (CBD),-37.81784465,144.969917465
Melbourne (CBD),-37.82024711,144.956435223
Melbourne (CBD),-37.81974183,144.958272108
Melbourne (CBD),-37.81825093,144.961389009
Melbourne (CBD),-37.81864584,144.960420557
Melbourne (CBD),-37.81789895,144.962854858
Melbourne (CBD),-37.81798973,144.962437455
Melbourne (CBD),-37.81819275,144.962529829
Melbourne (CBD),-37.81729894,144.964881593
Melbourne (CBD),-37.81685974,144.966302712
Melbourne (CBD),-37.81699341,144.966170616
